FG,H,PP,RA,SLP,SN,T,TM,TS,Tm,V,VG,VM,VV,altitud,continente,dia,estacion,idEstacion,latitud,longitud,mes,pais,year
-,81,0,-,-,-,0.6,3,-,-2,12.8,-,22.2,10,57,Europa,18, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,82,0,-,-,-,-1.1,2,-,-4,7.6,-,14.8,10,57,Europa,19, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,89,-,o,-,-,11.3,14,-,9,17.6,-,35.2,9,57,Europa,7, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,4, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,5, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,16, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,8,Europa,17, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,86,-,o,-,-,6.9,9,-,5,22.8,44.6,31.7,9.3,57,Europa,8, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,96,-,o,-,-,8.1,9,-,8,21.1,48.2,27.8,4.5,57,Europa,9, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,17, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,18, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,17, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,-,-,o,-,o,-,-,-,-,-,-,-,-,57,Europa,18, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,90,-,o,-,-,6.7,8,-,5,26.9,64.8,38.9,6.3,8,Europa,16, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,86,-,o,-,o,3.3,5,-,1,18.7,53.5,33.5,8.9,8,Europa,17, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,-,-,o,-,-,-,-,o,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,79,-,o,-,-,19.1,24,-,15,14.1,-,27.8,10,57,Europa,7, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,54,0,-,1021,-,19.2,25,-,11,8.9,-,14.8,29,57,Europa,7, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,16, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,17, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,78,0,-,-,-,19.8,25,-,15,7.4,-,16.5,7.4,57,Europa,7, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,89,0,-,-,-,15.4,18,-,13,9.6,-,29.4,7.4,57,Europa,8, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,79,0,-,-,-,13.9,17,-,12,3.7,-,7.6,10,57,Europa,7, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,83,0,-,-,-,13.8,16,-,12,5.4,-,11.1,9.5,57,Europa,8, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
o,91,0,-,-,-,-4.6,-2,-,-7,6.7,-,13,4.7,57,Europa,20, Wunstorf,,52.45,9.43,Enero,Alemania,2019
o,79,0,-,-,-,-3.3,1,-,-8,7.8,-,16.5,6.4,57,Europa,21, Wunstorf,,52.45,9.43,Enero,Alemania,2019
-,92,-,o,-,-,8.9,11,-,7,7.6,-,14.8,9.7,57,Europa,8, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,72,-,o,-,-,8.9,11,-,7,25,70.6,40.7,10,57,Europa,9, Wunstorf,,52.45,9.43,Noviembre,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,82,-,o,1016.8,-,14.1,18,-,10,9.8,-,24.1,13.2,57,Europa,7, Wunstorf,,52.45,9.43,Mayo,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,6, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,56,0,-,1031.1,-,20.1,26.3,-,12,7.8,-,11.1,23.8,57,Europa,7, Wunstorf,,52.45,9.43,Julio,Alemania,2013
-,-,-,o,-,o,-,-,-,-,-,-,-,-,8,Europa,18, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
-,70,0,-,-,-,5.6,9,-,3,10.6,-,18.3,10,8,Europa,19, Wittmundhaven,,53.55,7.66,Marzo,Alemania,2019
o,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
o,-,-,-,-,-,-,-,-,-,-,-,-,-,57,Europa,11, Wunstorf,,52.45,9.43,Diciembre,Alemania,2013
-,70,-,o,-,-,8.3,10,-,7,23.2,50,35.2,9.7,57,Europa,19, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,70,0,-,-,-,7.9,10,-,6,15.4,-,22.2,10,57,Europa,20, Wunstorf,,52.45,9.43,Febrero,Alemania,2019
-,69,0,-,-,-,5.1,9,-,2,14.4,-,24.1,10,57,Europa,19, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,68,0,-,-,-,8.2,12,-,2,15.4,-,24.1,10,57,Europa,20, Wunstorf,,52.45,9.43,Marzo,Alemania,2019
-,87,-,-,-,o,0.7,4,-,-1,9.6,-,18.3,8.7,8,Europa,18, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,83,0,-,-,-,-1.6,2,-,-4,7.2,-,11.1,7.9,8,Europa,19, Wittmundhaven,,53.55,7.66,Enero,Alemania,2019
-,78,-,o,-,-,17.7,21,-,13,12.8,-,22.2,8.5,57,Europa,8, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,62,0,-,-,-,17.5,23,-,10,5.7,-,11.1,10,57,Europa,9, Wunstorf,,52.45,9.43,Agosto,Alemania,2013
-,57,0,-,1017.6,-,18.2,24,-,11,10.4,-,18.3,21.9,57,Europa,8, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,77,0,-,1012.8,-,13.3,18,-,9.9,10.6,-,18,15,57,Europa,9, Wunstorf,,52.45,9.43,Junio,Alemania,2013
-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,Europa,18, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,86,-,o,-,-,7.1,8,-,5,20.7,-,31.7,9.8,8,Europa,19, Wittmundhaven,,53.55,7.66,Febrero,Alemania,2019
-,85,-,o,-,-,13.1,17,-,9,9.6,48.2,27.8,8.5,57,Europa,9, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Septiembre,Alemania,2013
-,85,-,o,-,-,13.6,16,-,11,13.7,-,22.2,7.4,57,Europa,9, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,-,-,o,-,-,-,-,-,-,-,-,-,-,57,Europa,10, Wunstorf,,52.45,9.43,Octubre,Alemania,2013
-,74,0,-,-,-,-2.6,0,-,-6,12.6,-,24.1,10,57,Europa,22, Wunstorf,,52.45,9.43,Enero,Alemania,2019
